Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,1.450980,1.460780,1.450980,1.450980,1.311408,860472
2016-01-05,1.450980,1.460780,1.450980,1.460780,1.320266,1116084
2016-01-06,1.460780,1.470590,1.450980,1.470590,1.329132,3296232
2016-01-07,1.460780,1.470590,1.431370,1.431370,1.293684,2941374
2016-01-08,1.441180,1.450980,1.431370,1.441180,1.302551,1126182
2016-01-11,1.441180,1.450980,1.421570,1.421570,1.284827,1251438
2016-01-12,1.421570,1.441180,1.421570,1.431370,1.293684,2286840
2016-01-13,1.431370,1.441180,1.421570,1.421570,1.284827,2853960
2016-01-14,1.431370,1.431370,1.421570,1.421570,1.284827,1407192
2016-01-15,1.421570,1.431370,1.421570,1.421570,1.284827,3523080
2016-01-18,1.411760,1.421570,1.401960,1.401960,1.267104,3712392
2016-01-19,1.401960,1.421570,1.401960,1.401960,1.267104,4482900
2016-01-20,1.401960,1.401960,1.382350,1.382350,1.249380,5268606
2016-01-21,1.382350,1.392160,1.372550,1.372550,1.240523,3337950
2016-01-22,1.372550,1.401960,1.372550,1.382350,1.249380,1991652
2016-01-26,1.382350,1.401960,1.372550,1.372550,1.240523,2681478
2016-01-27,1.372550,1.392160,1.372550,1.382350,1.249380,2047344
2016-01-28,1.382350,1.411760,1.382350,1.411760,1.275961,3048882
2016-01-29,1.411760,1.450980,1.392160,1.441180,1.302551,6672024
2016-02-02,1.441180,1.450980,1.421570,1.431370,1.293684,3584994
2016-02-03,1.431370,1.431370,1.382350,1.392160,1.258246,4954548
2016-02-04,1.392160,1.411760,1.392160,1.411760,1.275961,2637720
2016-02-05,1.411760,1.411760,1.392160,1.411760,1.275961,729300
2016-02-08,1.411760,1.411760,1.411760,1.411760,1.275961,0
2016-02-09,1.411760,1.411760,1.411760,1.411760,1.275961,0
2016-02-10,1.401960,1.401960,1.392160,1.392160,1.258246,773364
2016-02-11,1.392160,1.411760,1.392160,1.392160,1.258246,1509396
2016-02-12,1.401960,1.441180,1.401960,1.431370,1.293684,3596928
2016-02-15,1.441180,1.441180,1.421570,1.431370,1.293684,684624
2016-02-16,1.431370,1.450980,1.421570,1.441180,1.302551,841092
2016-02-17,1.441180,1.441180,1.411760,1.411760,1.275961,1633224
2016-02-18,1.421570,1.431370,1.401960,1.421570,1.284827,4221168
2016-02-19,1.421570,1.421570,1.401960,1.401960,1.267104,1719312
2016-02-22,1.401960,1.431370,1.401960,1.431370,1.293684,4175982
2016-02-23,1.431370,1.441180,1.421570,1.421570,1.284827,5074296
2016-02-24,1.421570,1.431370,1.411760,1.431370,1.293684,2047854
2016-02-25,1.421570,1.441180,1.411760,1.431370,1.293684,2455242
2016-02-26,1.431370,1.441180,1.421570,1.441180,1.302551,2019804
2016-02-29,1.441180,1.450980,1.431370,1.431370,1.293684,11750604
2016-03-01,1.431370,1.441180,1.411760,1.421570,1.284827,1590894
2016-03-02,1.431370,1.431370,1.421570,1.421570,1.284827,838032
2016-03-03,1.421570,1.450980,1.421570,1.450980,1.311408,4849386
2016-03-04,1.450980,1.450980,1.431370,1.450980,1.311408,2898024
2016-03-07,1.441180,1.460780,1.431370,1.450980,1.311408,1595586
2016-03-08,1.441180,1.450980,1.431370,1.441180,1.302551,1914132
2016-03-09,1.441180,1.450980,1.421570,1.421570,1.284827,4072554
2016-03-10,1.421570,1.431370,1.411760,1.421570,1.284827,2930256
2016-03-11,1.421570,1.441180,1.421570,1.431370,1.293684,1477164
2016-03-14,1.421570,1.441180,1.421570,1.421570,1.284827,2092428
2016-03-15,1.421570,1.431370,1.421570,1.431370,1.293684,2246550
2016-03-16,1.431370,1.441180,1.421570,1.431370,1.293684,1893324
2016-03-17,1.431370,1.450980,1.431370,1.441180,1.302551,2229516
2016-03-18,1.450980,1.460780,1.441180,1.460780,1.320266,4048992
2016-03-21,1.460780,1.470590,1.450980,1.460780,1.320266,2037552
2016-03-22,1.460780,1.480390,1.431370,1.431370,1.293684,4242180
2016-03-23,1.450980,1.450980,1.441180,1.450980,1.311408,2232576
2016-03-24,1.450980,1.450980,1.431370,1.431370,1.293684,1550094
2016-03-25,1.431370,1.441180,1.431370,1.431370,1.293684,700638
2016-03-28,1.431370,1.441180,1.421570,1.441180,1.302551,1273470
2016-03-29,1.441180,1.460780,1.431370,1.460780,1.320266,2066010
2016-03-30,1.460780,1.470590,1.450980,1.450980,1.311408,1346502
2016-03-31,1.450980,1.460780,1.441180,1.450980,1.311408,2685456
2016-04-01,1.450980,1.450980,1.441180,1.441180,1.302551,1210230
2016-04-04,1.441180,1.460780,1.431370,1.460780,1.320266,1272960
2016-04-05,1.450980,1.460780,1.441180,1.441180,1.302551,1426980
2016-04-06,1.450980,1.460780,1.441180,1.460780,1.320266,1161984
2016-04-07,1.460780,1.460780,1.441180,1.460780,1.320266,2102934
2016-04-08,1.450980,1.460780,1.450980,1.460780,1.320266,741438
2016-04-11,1.460780,1.460780,1.450980,1.460780,1.320266,957882
2016-04-12,1.460780,1.470590,1.450980,1.460780,1.320266,3269814
2016-04-13,1.460780,1.470590,1.450980,1.450980,1.311408,1848750
2016-04-14,1.450980,1.470590,1.450980,1.470590,1.329132,3765738
2016-04-15,1.470590,1.480390,1.460780,1.490200,1.346856,389130
2016-04-18,1.470590,1.480390,1.460780,1.470590,1.329132,832422
2016-04-19,1.460780,1.470590,1.460780,1.470590,1.329132,1109658
2016-04-20,1.460780,1.480390,1.460780,1.480390,1.337989,3886404
2016-04-21,1.480390,1.490200,1.470590,1.490200,1.346856,860064
2016-04-22,1.480390,1.490200,1.470590,1.490200,1.346856,1933002
2016-04-25,1.490200,1.500000,1.480390,1.500000,1.355713,2297244
2016-04-26,1.490200,1.500000,1.470590,1.470590,1.329132,1392402
2016-04-27,1.470590,1.490200,1.460780,1.470590,1.329132,1921374
2016-04-28,1.470590,1.480390,1.450980,1.460780,1.320266,3873552
2016-04-29,1.460780,1.470590,1.450980,1.470590,1.329132,1877820
2016-05-03,1.470590,1.470590,1.441180,1.441180,1.302551,2418114
2016-05-04,1.441180,1.460780,1.441180,1.450980,1.311408,1842630
2016-05-05,1.441180,1.450980,1.431370,1.431370,1.293684,1533468
2016-05-06,1.431370,1.441180,1.431370,1.441180,1.302551,2369868
2016-05-09,1.441180,1.470590,1.431370,1.470590,1.329132,3305718
2016-05-10,1.460780,1.460780,1.441180,1.441180,1.302551,1244400
2016-05-11,1.441180,1.460780,1.431370,1.441180,1.302551,2932092
2016-05-12,1.441180,1.460780,1.441180,1.460780,1.320266,2051730
2016-05-13,1.460780,1.460780,1.441180,1.441180,1.302551,1512660
2016-05-16,1.450980,1.450980,1.431370,1.441180,1.302551,1827432
2016-05-17,1.431370,1.441180,1.431370,1.431370,1.293684,2765322
2016-05-18,1.431370,1.441180,1.421570,1.441180,1.302551,1724310
2016-05-19,1.441180,1.441180,1.421570,1.431370,1.293684,2982684
2016-05-20,1.431370,1.431370,1.421570,1.431370,1.293684,1421064
2016-05-23,1.431370,1.431370,1.421570,1.431370,1.293684,1125162
2016-05-24,1.431370,1.431370,1.421570,1.421570,1.284827,987462
2016-05-25,1.421570,1.431370,1.411760,1.421570,1.284827,2396286
2016-05-26,1.421570,1.421570,1.401960,1.421570,1.284827,1456662
2016-05-27,1.421570,1.421570,1.401960,1.421570,1.284827,2825604
2016-05-30,1.421570,1.421570,1.401960,1.401960,1.267104,2065908
2016-05-31,1.411760,1.421570,1.392160,1.421570,1.284827,9293424
2016-06-01,1.421570,1.431370,1.411760,1.421570,1.284827,937788
2016-06-02,1.431370,1.431370,1.411760,1.411760,1.275961,2583354
2016-06-03,1.411760,1.441180,1.411760,1.431370,1.293684,2272662
2016-06-06,1.441180,1.441180,1.421570,1.431370,1.293684,1541934
2016-06-07,1.431370,1.441180,1.421570,1.441180,1.302551,2783172
2016-06-08,1.450980,1.450980,1.421570,1.431370,1.293684,1335384
2016-06-09,1.431370,1.441180,1.431370,1.431370,1.293684,344964
2016-06-10,1.431370,1.441180,1.421570,1.431370,1.293684,409836
2016-06-13,1.431370,1.441180,1.421570,1.431370,1.293684,582318
2016-06-14,1.431370,1.441180,1.421570,1.441180,1.302551,207570
2016-06-15,1.431370,1.441180,1.421570,1.421570,1.284827,276114
2016-06-16,1.431370,1.431370,1.401960,1.401960,1.267104,1923414
2016-06-17,1.401960,1.421570,1.392160,1.401960,1.267104,3412818
2016-06-20,1.411760,1.411760,1.392160,1.411760,1.275961,1353336
2016-06-21,1.401960,1.431370,1.401960,1.431370,1.293684,1001334
2016-06-23,1.431370,1.431370,1.411760,1.421570,1.284827,1139544
2016-06-24,1.421570,1.421570,1.352940,1.362750,1.231665,8684382
2016-06-27,1.362750,1.382350,1.362750,1.362750,1.231665,566610
2016-06-28,1.372550,1.392160,1.362750,1.382350,1.249380,984912
2016-06-29,1.392160,1.392160,1.382350,1.392160,1.258246,558552
2016-06-30,1.392160,1.401960,1.372550,1.382350,1.249380,2602020
2016-07-01,1.382350,1.392160,1.372550,1.372550,1.240523,901884
2016-07-04,1.372550,1.392160,1.372550,1.372550,1.240523,438498
2016-07-05,1.382350,1.401960,1.382350,1.401960,1.267104,583542
2016-07-06,1.401960,1.401960,1.401960,1.401960,1.267104,0
2016-07-07,1.401960,1.401960,1.401960,1.401960,1.267104,0
2016-07-08,1.382350,1.401960,1.372550,1.382350,1.249380,2138940
2016-07-11,1.392160,1.392160,1.372550,1.372550,1.240523,2572032
2016-07-12,1.382350,1.392160,1.372550,1.392160,1.258246,1203192
2016-07-13,1.392160,1.401960,1.372550,1.401960,1.267104,2169132
2016-07-14,1.392160,1.421570,1.382350,1.421570,1.284827,4254114
2016-07-15,1.421570,1.431370,1.401960,1.411760,1.275961,2948310
2016-07-18,1.411760,1.411760,1.382350,1.392160,1.258246,2555304
2016-07-19,1.392160,1.421570,1.382350,1.421570,1.284827,3098964
2016-07-20,1.421570,1.421570,1.401960,1.421570,1.284827,715326
2016-07-21,1.401960,1.421570,1.401960,1.411760,1.275961,1494300
2016-07-22,1.392160,1.401960,1.382350,1.392160,1.258246,4941798
2016-07-25,1.392160,1.401960,1.392160,1.401960,1.267104,1226040
2016-07-26,1.401960,1.401960,1.392160,1.401960,1.267104,214098
2016-07-27,1.392160,1.401960,1.392160,1.401960,1.267104,706146
2016-07-28,1.401960,1.411760,1.392160,1.411760,1.275961,1334364
2016-07-29,1.411760,1.411760,1.392160,1.401960,1.267104,2293776
2016-08-01,1.401960,1.401960,1.382350,1.392160,1.258246,2871402
2016-08-02,1.392160,1.392160,1.382350,1.392160,1.258246,1277244
2016-08-03,1.392160,1.392160,1.362750,1.382350,1.249380,4153236
2016-08-04,1.382350,1.392160,1.372550,1.382350,1.249380,1964826
2016-08-05,1.382350,1.392160,1.362750,1.372550,1.240523,5437008
2016-08-08,1.372550,1.382350,1.362750,1.382350,1.249380,1224612
2016-08-09,1.382350,1.411760,1.382350,1.411760,1.275961,2785008
2016-08-10,1.401960,1.411760,1.401960,1.411760,1.275961,1332222
2016-08-11,1.411760,1.421570,1.401960,1.411760,1.275961,1727880
2016-08-12,1.421570,1.431370,1.401960,1.431370,1.293684,1459620
2016-08-15,1.431370,1.441180,1.421570,1.441180,1.302551,980322
2016-08-16,1.431370,1.450980,1.421570,1.450980,1.311408,2531844
2016-08-17,1.441180,1.441180,1.431370,1.431370,1.293684,531828
2016-08-18,1.431370,1.450980,1.421570,1.450980,1.311408,1207782
2016-08-19,1.441180,1.450980,1.421570,1.441180,1.302551,903720
2016-08-22,1.441180,1.450980,1.431370,1.441180,1.302551,1055496
2016-08-23,1.441180,1.450980,1.431370,1.450980,1.311408,648108
2016-08-24,1.450980,1.450980,1.431370,1.450980,1.311408,830280
